Issue_ID,Student_ID,Book_ID,Issue_Date,Due_Date,Return_Date,Issue_Status,Number_of_Days_Issued,Renew_Count,Fine_Amount,Library_Visit_Frequency,Total_Library_Visits,Reading_Duration_Hours,Preferred_Book_Type,Online_Resource_Usage,Late_Return_Count,Librarian_ID,Library_Shift,Transaction_Mode,Feedback_Rating,Student_Name,Gender,Age,Department,Year_of_Study,Section,Roll_Number,Student_Type,Admission_Year,Semester,CGPA,Attendance_Percentage,Academic_Performance,Scholarship_Status,Hostel_DayScholar,Mobile_Number,Email_ID,City,State,Book_Title,Author_Name,Publisher,Book_Category,ISBN_Number,Book_Edition,Language,Book_Price,Book_Rack_No,Book_Availability,Book_Condition,Damage_Report,Publication_Year,Pages,Binding_Type,Edition_Type,Print_Type,Genre,Country_of_Publication
I3000,S1088,B2025,29-01-2025,12-02-2025,18-02-2025,Returned,25.0,1.0,10.0,1,65.0,19,Electronics,No,4,L400,Morning,Offline,3,Student_88,Male,19,CSE,2.0,A,7,Regular,2021,5,7.54,97,Average,No,DayScholar,9473117788,student88@college.edu,Vizag,AP,Book_25,Author_25,,Civil,9695455182.0,3.0,Telugu,277.63,8.0,No,,,2019.0,413.0,Hardcover,Second,Color,Textbook,UK
I3150,S1150,B2025,10-11-2025,24-11-2025,,Not Returned,13.0,3.0,20.0,7,97.0,18,Math,Yes,4,L550,Morning,Offline,4,Student_150,Female,22,ECE,4.0,A,14,Lateral,2022,3,8.83,75,Good,No,DayScholar,9274349138,student150@college.edu,Vijayawada,AP,Book_25,Author_25,,Civil,9695455182.0,3.0,Telugu,277.63,8.0,No,,,2019.0,413.0,Hardcover,Second,Color,Textbook,UK
I3165,S1147,B2025,31-01-2025,14-02-2025,19-02-2025,Returned,10.0,3.0,0.0,7,53.0,12,Electronics,Yes,1,L565,Evening,Online,4,Student_147,Female,19,EEE,3.0,C,34,Regular,2023,6,7.89,87,Excellent,No,Hostel,9199915903,student147@college.edu,Vizag,AP,Book_25,Author_25,,Civil,9695455182.0,3.0,Telugu,277.63,8.0,No,,,2019.0,413.0,Hardcover,Second,Color,Textbook,UK
I3056,S1088,B2129,20-12-2025,03-01-2026,02-01-2026,Returned,20.0,2.0,10.0,5,67.0,15,Mechanical,No,5,L456,Morning,Offline,2,Student_88,Male,19,CSE,2.0,A,7,Regular,2021,5,7.54,97,Average,No,DayScholar,9473117788,student88@college.edu,Vizag,AP,Book_129,Author_129,McGraw Hill,Mechanical,6126539546.0,3.0,Telugu,463.57,21.0,Yes,Average,Minor,2019.0,740.0,Hardcover,Revised,Color,Guide,UK
I3001,S1004,B2010,23-09-2025,07-10-2025,07-10-2025,Returned,28.0,3.0,20.0,6,49.0,16,Math,Yes,5,L401,Morning,Online,1,Student_4,Male,24,CSE,1.0,B,70,Lateral,2021,3,8.46,84,Excellent,No,Hostel,9507070100,student4@college.edu,Hyderabad,AP,Book_10,Author_10,Springer,Programming,7841745657.0,5.0,Hindi,332.34,36.0,No,Average,Minor,2021.0,767.0,Paperback,Revised,Color,Reference,USA
I3038,S1159,B2010,02-12-2025,16-12-2025,,Not Returned,13.0,1.0,0.0,7,11.0,18,Math,Yes,3,L438,Evening,Online,4,Student_159,Male,24,ME,1.0,A,36,Lateral,2023,8,8.27,91,Poor,No,Hostel,9804132338,student159@college.edu,Hyderabad,AP,Book_10,Author_10,Springer,Programming,7841745657.0,5.0,Hindi,332.34,36.0,No,Average,Minor,2021.0,767.0,Paperback,Revised,Color,Reference,USA
I3078,S1004,B2122,07-10-2025,21-10-2025,,Not Returned,9.0,0.0,30.0,5,46.0,3,Mechanical,Yes,2,L478,Morning,Offline,5,Student_4,Male,24,CSE,1.0,B,70,Lateral,2021,3,8.46,84,Excellent,No,Hostel,9507070100,student4@college.edu,Hyderabad,AP,Book_122,Author_122,Springer,Science,1973600701.0,3.0,English,239.13,11.0,No,Average,,2018.0,315.0,Hardcover,Revised,Black&White,Reference,India
I3122,S1084,B2122,18-07-2025,01-08-2025,,Not Returned,20.0,3.0,0.0,2,26.0,12,Mechanical,No,3,L522,Evening,Online,2,Student_84,Female,22,EEE,1.0,C,29,Regular,2024,6,5.52,70,Excellent,No,DayScholar,9557874186,student84@college.edu,Hyderabad,AP,Book_122,Author_122,Springer,Science,1973600701.0,3.0,English,239.13,11.0,No,Average,,2018.0,315.0,Hardcover,Revised,Black&White,Reference,India
I3002,S1123,B2028,12-06-2025,26-06-2025,22-06-2025,Returned,14.0,3.0,0.0,7,73.0,19,Science,No,4,L402,Evening,Offline,4,Student_123,Female,21,CSE,2.0,C,56,Lateral,2023,4,8.17,79,Good,No,DayScholar,9519576606,student123@college.edu,Hyderabad,AP,Book_28,Author_28,Elsevier,Science,6121663120.0,4.0,Hindi,760.31,14.0,No,Good,Major,2019.0,450.0,Paperback,First,Color,Guide,India
I3017,S1123,B2114,11-06-2025,25-06-2025,,Not Returned,11.0,0.0,10.0,3,27.0,20,Math,No,5,L417,Morning,Offline,1,Student_123,Female,21,CSE,2.0,C,56,Lateral,2023,4,8.17,79,Good,No,DayScholar,9519576606,student123@college.edu,Hyderabad,AP,Book_114,Author_114,McGraw Hill,Mechanical,7127607333.0,1.0,English,948.61,29.0,No,Good,Major,2020.0,450.0,Hardcover,First,Black&White,Guide,UK
I3003,S1013,B2154,10-02-2025,24-02-2025,23-02-2025,Returned,13.0,0.0,20.0,5,18.0,12,Mechanical,Yes,5,L403,Evening,Online,1,Student_13,Male,20,ECE,2.0,A,14,Lateral,2022,8,5.11,81,Good,Yes,DayScholar,9635637565,student13@college.edu,Hyderabad,AP,Book_154,Author_154,Springer,Civil,3250707755.0,3.0,Hindi,478.7,27.0,No,Damaged,Major,2020.0,765.0,Hardcover,Second,Color,Reference,India
I3121,S1010,B2154,19-12-2025,02-01-2026,,Not Returned,21.0,3.0,30.0,9,79.0,5,Science,Yes,4,L521,Morning,Offline,5,Student_10,Male,19,ECE,3.0,A,28,Regular,2022,5,5.91,89,Excellent,Yes,DayScholar,9608157346,student10@college.edu,Vizag,AP,Book_154,Author_154,Springer,Civil,3250707755.0,3.0,Hindi,478.7,27.0,No,Damaged,Major,2020.0,765.0,Hardcover,Second,Color,Reference,India
I3004,S1051,B2091,18-10-2025,01-11-2025,30-10-2025,Returned,11.0,3.0,20.0,5,59.0,8,Math,No,3,L404,Evening,Online,1,Student_51,Female,19,Civil,3.0,A,49,Lateral,2024,7,6.0,84,Good,No,Hostel,9770663573,student51@college.edu,Vizag,AP,Book_91,Author_91,Pearson,Science,1365222024.0,4.0,English,837.21,47.0,Yes,Good,Major,2018.0,591.0,Hardcover,First,Black&White,Reference,India
I3005,S1051,B2038,22-03-2025,05-04-2025,10-04-2025,Returned,24.0,1.0,10.0,1,91.0,7,Science,No,3,L405,Evening,Online,4,Student_51,Female,19,Civil,3.0,A,49,Lateral,2024,7,6.0,84,Good,No,Hostel,9770663573,student51@college.edu,Vizag,AP,Book_38,Author_38,McGraw Hill,Civil,8353939742.0,4.0,English,341.81,10.0,Yes,Good,Major,2022.0,484.0,Hardcover,First,Color,Textbook,UK
I3167,S1037,B2038,09-09-2025,23-09-2025,23-09-2025,Returned,16.0,2.0,30.0,9,50.0,13,Electronics,Yes,2,L567,Evening,Offline,3,Student_37,Female,21,ME,4.0,B,53,Lateral,2023,2,8.95,90,Good,Yes,Hostel,9685655681,student37@college.edu,Hyderabad,AP,Book_38,Author_38,McGraw Hill,Civil,8353939742.0,4.0,English,341.81,10.0,Yes,Good,Major,2022.0,484.0,Hardcover,First,Color,Textbook,UK
I3035,S1051,B2048,19-12-2025,02-01-2026,,Not Returned,11.0,3.0,30.0,8,67.0,7,Civil,No,3,L435,Evening,Online,5,Student_51,Female,19,Civil,3.0,A,49,Lateral,2024,7,6.0,84,Good,No,Hostel,9770663573,student51@college.edu,Vizag,AP,Book_48,Author_48,McGraw Hill,Programming,8614295240.0,2.0,Telugu,366.33,26.0,Yes,Good,Minor,2022.0,558.0,Hardcover,Second,Color,Reference,UK
I3069,S1051,B2006,29-03-2025,12-04-2025,11-04-2025,Returned,11.0,2.0,20.0,5,37.0,5,Civil,Yes,5,L469,Morning,Offline,4,Student_51,Female,19,Civil,3.0,A,49,Lateral,2024,7,6.0,84,Good,No,Hostel,9770663573,student51@college.edu,Vizag,AP,Book_6,Author_6,Elsevier,Civil,2588644191.0,,Hindi,645.99,7.0,Yes,Damaged,,2024.0,771.0,Hardcover,Second,Color,Guide,USA
I3037,S1017,B2006,23-05-2025,06-06-2025,,Not Returned,9.0,0.0,0.0,9,46.0,3,Civil,Yes,3,L437,Evening,Online,2,Student_17,Male,21,Civil,4.0,B,72,Regular,2022,3,9.52,65,Poor,Yes,DayScholar,9996438953,student17@college.edu,Vizag,AP,Book_6,Author_6,Elsevier,Civil,2588644191.0,,Hindi,645.99,7.0,Yes,Damaged,,2024.0,771.0,Hardcover,Second,Color,Guide,USA
I3037,S1017,B2006,23-05-2025,06-06-2025,,Not Returned,9.0,0.0,0.0,9,46.0,3,Civil,Yes,3,L437,Evening,Online,2,Student_17,Male,21,Civil,4.0,B,72,Regular,2022,3,9.52,65,Poor,Yes,DayScholar,9996438953,student17@college.edu,Vizag,AP,Book_6,Author_6,Elsevier,Civil,2588644191.0,,Hindi,645.99,7.0,Yes,Damaged,,2024.0,771.0,Hardcover,Second,Color,Guide,USA
I3136,S1051,B2018,03-07-2025,17-07-2025,13-07-2025,Returned,18.0,3.0,30.0,2,12.0,18,Programming,No,4,L536,Morning,Online,2,Student_51,Female,19,Civil,3.0,A,49,Lateral,2024,7,6.0,84,Good,No,Hostel,9770663573,student51@college.edu,Vizag,AP,Book_18,Author_18,Springer,Electronics,,4.0,Telugu,650.78,31.0,No,Damaged,Minor,2022.0,725.0,Hardcover,Revised,Black&White,Guide,USA
I3060,S1035,B2018,17-03-2025,31-03-2025,27-03-2025,Returned,19.0,2.0,0.0,6,51.0,17,Civil,No,5,L460,Morning,Offline,1,Student_35,Male,19,ECE,4.0,A,73,Regular,2021,8,6.08,95,Excellent,Yes,DayScholar,9629551684,student35@college.edu,Hyderabad,AP,Book_18,Author_18,Springer,Electronics,,4.0,Telugu,650.78,31.0,No,Damaged,Minor,2022.0,725.0,Hardcover,Revised,Black&White,Guide,USA
I3006,S1039,B2078,13-08-2025,27-08-2025,,Not Returned,,1.0,20.0,8,76.0,5,Electronics,No,3,L406,Evening,Online,1,Student_39,Male,24,ECE,3.0,C,64,Lateral,2022,8,8.2,97,Poor,Yes,DayScholar,9787798800,student39@college.edu,Vizag,AP,Book_78,Author_78,Pearson,Civil,1451098414.0,5.0,Telugu,482.9,14.0,Yes,Average,Major,2020.0,479.0,Hardcover,Revised,Color,Reference,USA
I3030,S1140,B2078,27-05-2025,10-06-2025,15-06-2025,Returned,21.0,3.0,20.0,5,82.0,13,Science,Yes,1,L430,Evening,Online,5,Student_140,Female,21,ME,4.0,A,68,Lateral,2024,5,8.59,96,Poor,Yes,Hostel,9930616908,student140@college.edu,Rajahmundry,AP,Book_78,Author_78,Pearson,Civil,1451098414.0,5.0,Telugu,482.9,14.0,Yes,Average,Major,2020.0,479.0,Hardcover,Revised,Color,Reference,USA
I3075,S1039,B2014,27-01-2025,10-02-2025,06-02-2025,Returned,14.0,0.0,10.0,2,28.0,2,Electronics,No,5,L475,Evening,Online,3,Student_39,Male,24,ECE,3.0,C,64,Lateral,2022,8,8.2,97,Poor,Yes,DayScholar,9787798800,student39@college.edu,Vizag,AP,Book_14,Author_14,Pearson,Programming,3716081557.0,3.0,English,714.93,1.0,No,Average,,2024.0,252.0,Paperback,Second,Color,Textbook,UK
I3072,S1129,B2014,15-03-2025,29-03-2025,31-03-2025,Returned,19.0,3.0,30.0,5,88.0,17,Mechanical,Yes,5,L472,Morning,Offline,4,Student_129,Male,21,CSE,2.0,B,23,Lateral,2022,5,8.71,99,Average,No,Hostel,9130739273,student129@college.edu,Rajahmundry,AP,Book_14,Author_14,Pearson,Programming,3716081557.0,3.0,English,714.93,1.0,No,Average,,2024.0,252.0,Paperback,Second,Color,Textbook,UK
