Issue_ID,Student_ID,Book_ID,Issue_Date,Due_Date,Return_Date,Number_of_Days_Issued,Renew_Count,Fine_Amount,Library_Visit_Frequency,Total_Library_Visits,Reading_Duration_Hours,Preferred_Book_Type,Online_Resource_Usage,Late_Return_Count,Librarian_ID,Feedback_Rating,Student_Name,Age,Year_of_Study,Section,Roll_Number,Admission_Year,Semester,CGPA,Attendance_Percentage,Academic_Performance,Scholarship_Status,Hostel_DayScholar,Mobile_Number,Email_ID,City,State,Book_Title,Author_Name,Publisher,ISBN_Number,Book_Edition,Language,Book_Price,Book_Rack_No,Book_Availability,Damage_Report,Publication_Year,Pages,Country_of_Publication,Days_Late,Fine_Per_Day,Library_Engagement_Score,Gender_Male,Department_Civil,Department_ECE,Department_EEE,Department_ME,Student_Type_Regular,Issue_Status_Returned,Book_Category_Electronics,Book_Category_Math,Book_Category_Mechanical,Book_Category_Programming,Book_Category_Science,Book_Condition_Damaged,Book_Condition_Good,Binding_Type_Paperback,Edition_Type_Revised,Edition_Type_Second,Print_Type_Color,Genre_Reference,Genre_Textbook,Library_Shift_Morning,Transaction_Mode_Online
I3000,S1088,B2025,2025-01-29,2025-02-12,2025-02-18,0.7826086956521738,0.3333333333333333,0.3333333333333333,1,0.6179775280898876,0.9473684210526316,Electronics,No,4,L400,3,Student_88,0.16666666666666652,2.0,A,7,2021,5,0.5061224489795917,0.9250000000000003,Average,No,DayScholar,9473117788,student88@college.edu,Vizag,AP,Book_25,Author_25,Elsevier,9695455182.0,3.0,Telugu,0.0978441964961882,8.0,No,Major,2019.0,413.0,UK,6.0,0.0942895086321381,0.6796116504854368,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,True,False,True,True,False
I3150,S1150,B2025,2025-11-10,2025-11-24,,0.26086956521739124,1.0,0.6666666666666666,7,0.9775280898876404,0.894736842105263,Math,Yes,4,L550,4,Student_150,0.6666666666666665,4.0,A,14,2022,3,0.7693877551020407,0.375,Good,No,DayScholar,9274349138,student150@college.edu,Vijayawada,AP,Book_25,Author_25,Elsevier,9695455182.0,3.0,Telugu,0.0978441964961882,8.0,No,Major,2019.0,413.0,UK,0.0,0.36132315521628494,0.9805825242718447,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,True,False
I3165,S1147,B2025,2025-01-31,2025-02-14,2025-02-19,0.13043478260869562,1.0,0.0,7,0.48314606741573035,0.5789473684210527,Electronics,Yes,1,L565,4,Student_147,0.16666666666666652,3.0,C,34,2023,6,0.5775510204081631,0.6750000000000003,Excellent,No,Hostel,9199915903,student147@college.edu,Vizag,AP,Book_25,Author_25,Elsevier,9695455182.0,3.0,Telugu,0.0978441964961882,8.0,No,Major,2019.0,413.0,UK,5.0,0.0,0.4951456310679611,False,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,True,True,False,True,False,True
I3056,S1088,B2129,2025-12-20,2026-01-03,2026-01-02,0.5652173913043478,0.6666666666666666,0.3333333333333333,5,0.6404494382022472,0.736842105263158,Mechanical,No,5,L456,2,Student_88,0.16666666666666652,2.0,A,7,2021,5,0.5061224489795917,0.9250000000000003,Average,No,DayScholar,9473117788,student88@college.edu,Vizag,AP,Book_129,Author_129,McGraw Hill,6126539546.0,3.0,Telugu,0.332533952643005,21.0,Yes,Minor,2019.0,740.0,UK,0.0,0.11774461028192369,0.6601941747572815,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False
I3001,S1004,B2010,2025-09-23,2025-10-07,2025-10-07,0.9130434782608696,1.0,0.6666666666666666,6,0.43820224719101125,0.7894736842105263,Math,Yes,5,L401,1,Student_4,1.0,1.0,B,70,2021,3,0.6938775510204083,0.6000000000000001,Excellent,No,Hostel,9507070100,student4@college.edu,Hyderabad,AP,Book_10,Author_10,Springer,7841745657.0,5.0,Hindi,0.16689806634018273,36.0,No,Minor,2021.0,767.0,USA,0.0,0.1684460260972716,0.4951456310679611,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,True,True,False,True,True
I3038,S1159,B2010,2025-12-02,2025-12-16,,0.26086956521739124,0.3333333333333333,0.0,7,0.011235955056179775,0.894736842105263,Math,Yes,3,L438,4,Student_159,1.0,1.0,A,36,2023,8,0.6551020408163264,0.7749999999999999,Poor,No,Hostel,9804132338,student159@college.edu,Hyderabad,AP,Book_10,Author_10,Springer,7841745657.0,5.0,Hindi,0.16689806634018273,36.0,No,Minor,2021.0,767.0,USA,0.0,0.0,0.14563106796116504,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,True,True,False,False,True
I3078,S1004,B2122,2025-10-07,2025-10-21,,0.08695652173913038,0.0,1.0,5,0.40449438202247184,0.10526315789473684,Mechanical,Yes,2,L478,5,Student_4,1.0,1.0,B,70,2021,3,0.6938775510204083,0.6000000000000001,Excellent,No,Hostel,9507070100,student4@college.edu,Hyderabad,AP,Book_122,Author_122,Springer,1973600701.0,3.0,English,0.04925026505780783,11.0,No,Major,2018.0,315.0,India,0.0,0.7802197802197802,0.3398058252427184,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False
I3122,S1084,B2122,2025-07-18,2025-08-01,,0.5652173913043478,1.0,0.0,2,0.1797752808988764,0.5789473684210527,Mechanical,No,3,L522,2,Student_84,0.6666666666666665,1.0,C,29,2024,6,0.09387755102040818,0.25,Excellent,No,DayScholar,9557874186,student84@college.edu,Hyderabad,AP,Book_122,Author_122,Springer,1973600701.0,3.0,English,0.04925026505780783,11.0,No,Major,2018.0,315.0,India,0.0,0.0,0.23300970873786403,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True
I3002,S1123,B2028,2025-06-12,2025-06-26,2025-06-22,0.30434782608695654,1.0,0.0,7,0.7078651685393258,0.9473684210526316,Science,No,4,L402,4,Student_123,0.5,2.0,C,56,2023,4,0.6346938775510202,0.4750000000000001,Good,No,DayScholar,9519576606,student123@college.edu,Hyderabad,AP,Book_28,Author_28,Elsevier,6121663120.0,4.0,Hindi,0.7070732569293683,14.0,No,Major,2019.0,450.0,India,0.0,0.0,0.7572815533980581,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False
I3017,S1123,B2114,2025-06-11,2025-06-25,,0.17391304347826086,0.0,0.3333333333333333,3,0.19101123595505615,1.0,Math,No,5,L417,1,Student_123,0.5,2.0,C,56,2023,4,0.6346938775510202,0.4750000000000001,Good,No,DayScholar,9519576606,student123@college.edu,Hyderabad,AP,Book_114,Author_114,McGraw Hill,7127607333.0,1.0,English,0.944741757964356,29.0,No,Major,2020.0,450.0,UK,0.0,0.21321321321321318,0.3203883495145631,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
