Student_ID,Student_Name,Gender,Age,Department,Year_of_Study,Section,Roll_Number,Student_Type,Admission_Year,Semester,CGPA,Attendance_Percentage,Academic_Performance,Scholarship_Status,Hostel_DayScholar,Mobile_Number,Email_ID,City,State
S1000,Student_0,Female,18,ECE,2.0,C,26,Regular,2024,6,6.72,76,Average,No,DayScholar,9277705184,student0@college.edu,Hyderabad,AP
S1001,Student_1,Female,20,ECE,3.0,A,76,Regular,2021,8,5.92,63,Average,No,Hostel,9133283850,student1@college.edu,Hyderabad,AP
S1002,Student_2,Male,19,CSE,4.0,A,27,Lateral,2021,1,6.92,85,Good,Yes,DayScholar,9581622822,student2@college.edu,Rajahmundry,AP
S1003,Student_3,Female,22,ME,4.0,C,67,Lateral,2021,3,6.19,66,Good,Yes,Hostel,9455681335,student3@college.edu,Vijayawada,AP
S1004,Student_4,Male,24,CSE,1.0,B,70,Lateral,2021,3,8.46,84,Excellent,No,Hostel,9507070100,student4@college.edu,Hyderabad,AP
S1005,Student_5,Female,23,CSE,1.0,A,61,Lateral,2022,1,6.43,92,Excellent,Yes,DayScholar,9581119603,student5@college.edu,Vijayawada,AP
S1006,Student_6,Male,20,ECE,3.0,A,63,Regular,2021,8,8.59,84,Average,No,DayScholar,9145061192,student6@college.edu,Vizag,AP
S1007,Student_7,Male,19,ECE,4.0,B,33,Lateral,2021,7,6.68,69,Poor,Yes,DayScholar,9677616805,student7@college.edu,Rajahmundry,AP
S1008,Student_8,Female,18,ME,2.0,B,36,Lateral,2023,4,6.33,81,Poor,No,Hostel,9335409190,student8@college.edu,Rajahmundry,AP
S1009,Student_9,Male,21,EEE,2.0,A,24,Lateral,2024,4,8.11,77,Average,Yes,Hostel,9164447149,student9@college.edu,Hyderabad,AP
S1010,Student_10,Male,19,ECE,3.0,A,28,Regular,2022,5,5.91,89,Excellent,Yes,DayScholar,9608157346,student10@college.edu,Vizag,AP
S1011,Student_11,Female,19,Civil,2.0,C,72,Lateral,2024,4,6.5,73,Average,Yes,DayScholar,9283001365,student11@college.edu,Hyderabad,AP
S1012,Student_12,Male,20,ME,3.0,B,49,Lateral,2024,7,6.62,76,Poor,Yes,DayScholar,9567729620,student12@college.edu,Vijayawada,AP
S1013,Student_13,Male,20,ECE,2.0,A,14,Lateral,2022,8,5.11,81,Good,Yes,DayScholar,9635637565,student13@college.edu,Hyderabad,AP
S1014,Student_14,Female,20,ME,1.0,A,42,Lateral,2022,6,5.11,84,Good,No,DayScholar,9158838965,student14@college.edu,Rajahmundry,AP
S1015,Student_15,Female,22,ECE,2.0,A,34,Lateral,2023,1,7.03,93,Good,Yes,Hostel,9358607110,student15@college.edu,Vijayawada,AP
S1016,Student_16,Male,18,ECE,4.0,B,15,Regular,2024,2,8.05,82,Average,Yes,Hostel,9113145003,student16@college.edu,Vijayawada,AP
S1017,Student_17,Male,21,Civil,4.0,B,72,Regular,2022,3,9.52,65,Poor,Yes,DayScholar,9996438953,student17@college.edu,Vizag,AP
S1018,Student_18,Female,20,EEE,4.0,B,79,Regular,2022,7,7.91,60,Excellent,No,Hostel,9434218251,student18@college.edu,Vizag,AP
S1019,Student_19,Female,23,ME,2.0,C,29,Lateral,2022,8,5.22,63,Excellent,No,Hostel,9767810776,student19@college.edu,Vijayawada,AP
S1020,Student_20,Male,20,CSE,1.0,A,24,Regular,2021,6,9.18,100,Average,Yes,DayScholar,9960628719,student20@college.edu,Hyderabad,AP
S1021,Student_21,Female,21,ME,3.0,A,62,Lateral,2021,8,9.2,70,Excellent,Yes,DayScholar,9799439704,student21@college.edu,Vijayawada,AP
